family,scenario,max_delay,mean_delay_base,drop_probability,outlier_probability,delay_pmf,inference_delay_pmf
main,reference_moderate,6,1.66,0.1,0.05,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
missingness,missing_00,6,1.66,0.0,0.05,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
missingness,missing_10,6,1.66,0.1,0.05,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
missingness,missing_30,6,1.66,0.3,0.05,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
missingness,missing_50,6,1.66,0.5,0.05,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
delay,delay_light,4,0.75,0.1,0.05,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]"
delay,delay_moderate,6,1.66,0.1,0.05,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
delay,delay_severe,8,3.09,0.1,0.05,"[0.14, 0.15, 0.16, 0.15, 0.13, 0.1, 0.08, 0.05, 0.04]","[0.14, 0.15, 0.16, 0.15, 0.13, 0.1, 0.08, 0.05, 0.04]"
outlier,outlier_00,6,1.66,0.1,0.0,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
outlier,outlier_05,6,1.66,0.1,0.05,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
outlier,outlier_10,6,1.66,0.1,0.1,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
outlier,outlier_20,6,1.66,0.1,0.2,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
outlier,outlier_30,6,1.66,0.1,0.3,"[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02]"
model_mismatch,prior_mismatch,8,3.4000000000000004,0.1,0.05,"[0.12, 0.13, 0.14, 0.15, 0.14, 0.11, 0.09, 0.07, 0.05]","[0.3, 0.25, 0.18, 0.12, 0.08, 0.05, 0.02, 0.0, 0.0]"
