date,time_index,split
2020-02-20,0,train
2020-02-21,1,train
2020-02-22,2,train
2020-02-23,3,train
2020-02-24,4,train
2020-02-25,5,train
2020-02-26,6,train
2020-02-27,7,train
2020-02-28,8,train
2020-02-29,9,train
2020-03-01,10,train
2020-03-02,11,train
2020-03-03,12,train
2020-03-04,13,train
2020-03-05,14,train
2020-03-06,15,train
2020-03-07,16,train
2020-03-08,17,train
2020-03-09,18,train
2020-03-10,19,train
2020-03-11,20,train
2020-03-12,21,train
2020-03-13,22,train
2020-03-14,23,train
2020-03-15,24,train
2020-03-16,25,train
2020-03-17,26,train
2020-03-18,27,train
2020-03-19,28,train
2020-03-20,29,train
2020-03-21,30,train
2020-03-22,31,train
2020-03-23,32,train
2020-03-24,33,train
2020-03-25,34,train
2020-03-26,35,train
2020-03-27,36,train
2020-03-28,37,train
2020-03-29,38,train
2020-03-30,39,train
2020-03-31,40,train
2020-04-01,41,train
2020-04-02,42,train
2020-04-03,43,train
2020-04-04,44,train
2020-04-05,45,train
2020-04-06,46,train
2020-04-07,47,train
2020-04-08,48,train
2020-04-09,49,train
2020-04-10,50,train
2020-04-11,51,train
2020-04-12,52,train
2020-04-13,53,train
2020-04-14,54,train
2020-04-15,55,train
2020-04-16,56,train
2020-04-17,57,train
2020-04-18,58,train
2020-04-19,59,train
2020-04-20,60,train
2020-04-21,61,train
2020-04-22,62,train
2020-04-23,63,train
2020-04-24,64,train
2020-04-25,65,train
2020-04-26,66,train
2020-04-27,67,train
2020-04-28,68,train
2020-04-29,69,train
2020-04-30,70,train
2020-05-01,71,train
2020-05-02,72,train
2020-05-03,73,train
2020-05-04,74,train
2020-05-05,75,train
2020-05-06,76,train
2020-05-07,77,train
2020-05-08,78,train
2020-05-09,79,train
2020-05-10,80,train
2020-05-11,81,train
2020-05-12,82,train
2020-05-13,83,train
2020-05-14,84,train
2020-05-15,85,train
2020-05-16,86,train
2020-05-17,87,train
2020-05-18,88,train
2020-05-19,89,train
2020-05-20,90,train
2020-05-21,91,train
2020-05-22,92,train
2020-05-23,93,train
2020-05-24,94,train
2020-05-25,95,train
