date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-02-20,0.0101320602,0.0203576541,0.0010593575,0.0008329813,0.0507187777,0.0056932098
2020-02-21,0.0301719087,0.0155373026,0.0019862314,0.0011453477,0.0437458893,0.0042700489
2020-02-22,0.0218411565,0.0271429249,0.0023834948,0.0150980812,0.0845161409,0.0083366863
2020-02-23,0.0585422123,0.0205476590,0.0513780530,0.0027071673,0.1263095121,0.0372089925
2020-02-24,0.0611697172,0.0556811119,0.0193326478,0.0037483596,0.1956722715,0.0187065363
2020-02-25,0.1549124866,0.0634818404,0.1023604857,0.0081216145,0.2929223450,0.0597795574
2020-02-26,0.1711215565,0.1148538038,0.0749485870,0.0364431660,0.5084915012,0.1165098694
2020-02-27,0.1211379619,0.2148630655,0.0438301685,0.0408159211,0.4876625959,0.0874335806
2020-02-28,0.2663657161,0.2201894753,0.0638254999,0.0687206133,0.4952422712,0.0943467815
2020-02-29,0.3136527527,0.4013163287,0.0655468355,0.0630980177,0.3877124688,0.1185423743
2020-03-01,0.3481775221,0.3112589832,0.1023604380,0.0981867629,0.4978011857,0.2490831158
2020-03-02,0.5181012088,0.5324606210,0.1566517044,0.1934588971,0.5023996448,0.3436299758
2020-03-03,0.6695578861,0.5247240468,0.1687017353,0.2105395930,0.4779485394,0.2759204771
2020-03-04,0.8332580537,0.6849295782,0.1925373191,0.3803585992,0.6639939483,0.3418016973
2020-03-05,1.0404805241,0.7942583448,0.2310717329,0.3589127699,0.7455846592,0.4532168844
2020-03-06,1.3835306231,1.2630341602,0.5124616369,0.5401818797,1.0324078955,0.7033167406
2020-03-07,1.6054310516,1.6083718164,0.8310559379,0.7477052625,1.4589120458,1.1618388777
2020-03-08,2.4493285309,1.8861761666,1.5229565334,1.1271217646,1.8979647509,1.6679309026
2020-03-09,4.2261927654,3.1409532120,2.0147083640,1.5302831127,2.5700605336,2.1945612315
2020-03-10,5.1956206961,4.0145559617,2.6355035964,1.6978077250,3.3364462051,2.8844734434
2020-03-11,6.6870586739,4.8253741976,2.8857342439,2.5452116039,4.3028199382,3.8650607031
2020-03-12,7.0994951564,5.7710231281,3.3977716102,2.7374331551,4.4234297710,4.3104403655
2020-03-13,8.1239260264,7.3977432430,3.8878549611,4.0810048603,5.0760338444,4.9176542697
2020-03-14,7.7805426855,7.9575375777,3.9407425911,3.9350047936,5.3847939006,4.9650777586
2020-03-15,8.4694078912,9.0674384063,3.9395508198,3.6620465174,5.3380561957,4.8669904848
2020-03-16,10.6064166373,12.3880314300,5.0116364545,4.5066228554,6.5917457576,6.2603348485
2020-03-17,9.2806359482,11.0044357830,4.4182138241,4.1022582718,5.3006236343,6.4313531823
2020-03-18,9.5883623976,11.1834667752,3.8790565113,4.0752573181,5.7851270559,5.4207541447
2020-03-19,8.4546191526,10.4586823486,3.6034872180,3.7307171521,4.8545011400,4.6145841136
2020-03-20,9.8667725596,12.0252663148,3.6848454686,3.7808457159,5.3854465995,5.5621340180
2020-03-21,7.7226576534,10.6077670303,3.2286147773,3.1246388263,4.5699969373,3.8773020925
2020-03-22,6.9401694653,8.9363443416,2.3118979768,2.8422470841,4.0142377620,3.2602233413
2020-03-23,9.1388189706,11.7471727753,3.6343779288,4.2173215679,5.0263283120,4.8548808545
2020-03-24,6.9193823711,9.3271151551,2.9088434829,3.3203926171,4.3391256178,3.8049566281
2020-03-25,7.5960527218,10.3242854380,3.1311008756,3.8567257676,4.7177969794,3.5837234661
2020-03-26,6.9058365351,8.8163155719,3.0753784192,3.1830513477,4.3407434185,3.4007248210
2020-03-27,7.5678172191,9.3582943251,3.3664200813,3.1473416180,4.4179515630,2.8891508887
2020-03-28,7.0799329517,8.5020657627,2.8919521118,2.9830993521,4.0678371734,3.4507444507
2020-03-29,6.1798193522,7.3009789894,2.6518181503,2.6721323294,3.2580665496,2.8074188139
2020-03-30,8.4189352414,9.1561358012,3.7840167267,3.4310952779,4.6889052900,3.5957037774
2020-03-31,6.4852041013,7.5018894334,2.5945861169,2.7353053151,4.0981290972,2.8053692290
2020-04-01,7.2038809541,8.3822653003,3.0187247921,3.1437181675,4.6642310398,3.1028518265
2020-04-02,6.4454402275,7.7727228000,2.8554203504,2.9259238018,4.3731105901,3.0198997607
2020-04-03,6.4875277886,7.6260353452,2.7146165500,2.8818551467,4.4684046309,3.0373871112
2020-04-04,5.1854072798,6.3824073074,2.2750865464,2.3905152559,3.4943547123,2.0973767510
2020-04-05,4.3338749566,5.4572451540,2.2373471236,2.5089271200,3.2005788379,2.4178098185
2020-04-06,5.7515133464,6.4309606647,2.9569751511,2.6665722071,3.9425915048,2.5766136028
2020-04-07,5.0596759825,6.1110260032,2.7949737127,2.5975392273,3.5443335972,2.5005910856
2020-04-08,5.0184170232,5.7071884006,2.3626149940,2.3823187609,3.4064858189,2.2437659072
2020-04-09,4.6443123745,5.4342317759,2.3908250140,2.2337323002,3.2094767419,2.2045309977
2020-04-10,4.4495729684,4.7432216127,1.9848346314,1.7899633169,2.5877168759,2.0953418061
2020-04-11,3.5450821905,4.1865322576,1.8884330496,1.5694288730,2.2781144477,1.8114987077
2020-04-12,3.4144243159,3.6974599212,1.7795846089,1.6305527349,2.4097420612,1.8234716990
2020-04-13,3.4500902140,3.4785512500,1.7888597673,1.5876585775,2.3575094125,1.5264038985
2020-04-14,3.3452270697,3.6590053578,1.9130470985,1.6965657561,2.2515713587,1.7376892541
2020-04-15,3.3834868513,3.6736322470,1.8983644767,1.5612073887,2.4484577059,1.7295397145
2020-04-16,3.0654389072,3.3744355006,1.6401426058,1.4830033307,2.0576751534,1.5455162770
2020-04-17,2.9185422411,2.9196853651,1.9398063356,1.5158142999,1.9648914930,1.1736239905
2020-04-18,2.6072401953,2.7555019591,1.5134175963,1.3171455057,1.5378702044,0.9609380852
2020-04-19,2.3337025714,2.2692073619,1.6153855444,1.1869836661,1.4602715562,0.8257460062
2020-04-20,2.5960000335,2.7968255845,1.7369350885,1.1805414210,1.6816369019,1.2324104752
2020-04-21,2.4597310845,2.3701724702,1.4621809668,1.1181718418,1.5086716908,0.9629803501
2020-04-22,2.2825003920,2.3559032625,1.3857598273,1.0076903364,1.4512955516,1.0229624260
2020-04-23,2.1773580450,2.5486479146,1.3698854342,0.9753116823,1.3560684542,0.7565895982
2020-04-24,1.6930493739,1.9759618264,1.3599428840,0.9701064082,1.4246408901,0.7934016057
2020-04-25,1.5206011541,1.8655980666,1.0845118362,0.7446903018,1.2551734757,0.8503166243
2020-04-26,1.1774519832,1.5860509705,0.9950018703,0.8894159135,1.0605520494,0.8792060104
2020-04-27,1.6454227909,1.7195346518,1.1083472612,0.9362658793,1.4405511233,0.8981085504
2020-04-28,1.2754791637,1.5480758525,1.1141742281,0.7466557114,1.2370039000,0.9845400305
2020-04-29,1.2374265325,1.3289388740,0.8981982643,0.7493670519,1.1506189203,0.4717217074
2020-04-30,1.2113075668,1.5480758525,1.0319356558,0.9955030480,1.2445071482,0.4568792973
2020-05-01,1.0449117418,1.3453389500,0.8502620467,0.8083006005,1.1210243245,0.5321210202
2020-05-02,0.7455910961,1.0704417130,0.9732798530,0.6741904493,1.1241148817,0.6445627077
2020-05-03,1.0255449790,1.2504848677,0.9598954674,0.7052196804,0.8773723792,0.5217413370
2020-05-04,1.1794064024,1.3147381585,1.0283666982,0.8174666808,1.2611091307,0.7403222387
2020-05-05,0.9952289656,1.3527589380,0.9343534260,0.5650746100,1.1934850607,0.7287420844
2020-05-06,1.0156404870,1.2293436096,1.0164537528,0.5132092889,1.0437492364,0.4249716535
2020-05-07,0.9383283484,1.1700141467,0.7275048410,0.6281601330,1.0175687579,0.4241493796
2020-05-08,1.0088792775,1.1256844749,0.6963868992,0.3913951297,0.9808446816,0.6146729290
2020-05-09,0.6619059298,1.0571945611,0.6091333535,0.5285239899,0.8056982288,0.7149147068
2020-05-10,0.7133179616,1.0057546383,0.7510812543,0.4612615030,0.7481379951,0.4737639723
2020-05-11,0.7554235357,1.0743762092,0.9760606526,0.5511230760,0.9062194396,0.7163445362
2020-05-12,0.7298359558,0.9984663075,1.0140543200,0.4833395619,0.9054997972,0.5063035713
