date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-02-20,0.0100810750,0.0201532071,0.0010587968,0.0008326346,0.0494744802,0.0056770648
2020-02-21,0.0297256900,0.0154178346,0.0019842614,0.0011446923,0.0428160587,0.0042609581
2020-02-22,0.0216060556,0.0267810886,0.0023806588,0.0149852395,0.0811339344,0.0083021280
2020-02-23,0.0568926901,0.0203394038,0.0501017352,0.0027035096,0.1189463694,0.0365334446
2020-02-24,0.0593718065,0.0541861623,0.0191481463,0.0037413520,0.1787085975,0.0185337209
2020-02-25,0.1440245719,0.0615482802,0.0974537767,0.0080888117,0.2569050400,0.0580609218
2020-02-26,0.1579618849,0.1087232786,0.0722728344,0.0357948188,0.4111101457,0.1102076318
2020-02-27,0.1143442069,0.1946313671,0.0428968023,0.0400049451,0.3972061607,0.0838204068
2020-02-28,0.2361511573,0.1990061543,0.0618713736,0.0664622446,0.4022882481,0.0901576386
2020-02-29,0.2728116178,0.3374120297,0.0634881279,0.0611873037,0.3276566856,0.1120263862
2020-03-01,0.2987536968,0.2709877316,0.0974537335,0.0936604223,0.4039981564,0.2224097748
2020-03-02,0.4174603492,0.4268746926,0.1455293695,0.1768557273,0.4070635930,0.2953748885
2020-03-03,0.5125588525,0.4218134408,0.1558935047,0.1910662048,0.3906550042,0.2436678609
2020-03-04,0.6060947411,0.5217237696,0.1760832382,0.3223433199,0.5092207056,0.2940132611
2020-03-05,0.7131853312,0.5845917582,0.2078851175,0.3066849462,0.5570895478,0.3737796401
2020-03-06,0.8685828435,0.8167064616,0.4137385466,0.4319005132,0.7092212456,0.5325773742
2020-03-07,0.9575981324,0.9587262016,0.6048928157,0.5583036489,0.8997189943,0.7709591918
2020-03-08,1.2381795834,1.0599325003,0.9254314414,0.7547697817,1.0640086806,0.9813032292
2020-03-09,1.6536830522,1.4209260058,1.1035030972,0.9283311987,1.2725825518,1.1614497487
2020-03-10,1.8238427031,1.6123448755,1.2907476424,0.9924394895,1.4670551659,1.3569874388
2020-03-11,2.0395382232,1.7622232373,1.3573119605,1.2655978490,1.6682387429,1.5820791931
2020-03-12,2.0918017334,1.9126522023,1.4810979604,1.3183990536,1.6907284144,1.6696747632
2020-03-13,2.2109001968,2.1279630082,1.5867535490,1.6255090492,1.8043521549,1.7779401321
2020-03-14,2.1725382150,2.1924953653,1.5975156420,1.5963536442,1.8539192103,1.7859220913
2020-03-15,2.2480663805,2.3093062957,1.5972743999,1.5394545185,1.8465721277,1.7693418081
2020-03-16,2.4515581036,2.5943611310,1.7936970001,1.7059515234,2.0270615725,1.9824259502
2020-03-17,2.3302621208,2.4852762301,1.6897662084,1.6296832401,1.8406486181,2.0057079663
2020-03-18,2.3597555110,2.5000798503,1.5849518633,1.6243772267,1.9147330191,1.8595355788
2020-03-19,2.2465034213,2.4387477264,1.5268141072,1.5540768088,1.7672107910,1.7253675184
2020-03-20,2.3857097444,2.5668910339,1.5443329309,1.5646174589,1.8540214321,1.8813158577
2020-03-21,2.1659239683,2.4516744456,1.4418744636,1.4169784587,1.7173945041,1.5845922171
2020-03-22,2.0719346183,2.2961991806,1.1975214319,1.3460573736,1.6122814182,1.4493215864
2020-03-23,2.3163715191,2.5453095039,1.5335019783,1.6519841606,1.7961379218,1.7672756475
2020-03-24,2.0693132193,2.3347729755,1.3632415458,1.4633462817,1.6750618976,1.5696480160
2020-03-25,2.1513031121,2.4269495734,1.4185439273,1.5803645005,1.7435835877,1.5225116517
2020-03-26,2.0676012886,2.2840458556,1.4049636060,1.4310409677,1.6753648602,1.4817692594
2020-03-27,2.1480129999,2.3377875828,1.4739434700,1.4224675550,1.6897178036,1.3581908533
2020-03-28,2.0893835744,2.2515092237,1.3589108600,1.3820602479,1.6229141336,1.4930713745
2020-03-29,1.9712742229,2.1163734584,1.2952251669,1.3007725095,1.4488151957,1.3369514829
2020-03-30,2.2427220505,2.3180780353,1.5652805130,1.4886467946,1.7385178377,1.5251219056
2020-03-31,2.0129282855,2.1402884251,1.2794288571,1.3178295596,1.6288736287,1.3364130245
2020-04-01,2.1046073294,2.2388212371,1.3909646364,1.4215934929,1.7341711465,1.4116822994
2020-04-02,2.0076017950,2.1716472257,1.3494800414,1.3676016871,1.6814069941,1.3912569672
2020-04-03,2.0132386748,2.1547849957,1.3122754561,1.3563131700,1.6989869159,1.3955977281
2020-04-04,1.8221928533,1.9990997788,1.1863442951,1.2209819027,1.5028221008,1.1305555439
2020-04-05,1.6740779828,1.8652027801,1.1747542054,1.2553103269,1.4352223344,1.2289999420
2020-04-06,1.9097666792,2.0056551458,1.3754798826,1.2992572221,1.5978897898,1.2744164317
2020-04-07,1.8016563304,1.9616465377,1.3336774840,1.2802500638,1.5138810936,1.2529318358
2020-04-08,1.7948242718,1.9031798469,1.2127189433,1.2185614982,1.4830775053,1.1767349719
2020-04-09,1.7306483788,1.8616324518,1.2210732587,1.1736369811,1.4373383506,1.1645657451
2020-04-10,1.6955372512,1.7480203094,1.0935443454,1.0260284477,1.2775160325,1.1298983382
2020-04-11,1.5140458112,1.6460653154,1.0607141577,0.9436836458,1.1872683936,1.0337176891
2020-04-12,1.4848774328,1.5470219203,1.0223014953,0.9671939895,1.2266366466,1.0379672267
2020-04-13,1.4929243688,1.4992996124,1.0256328267,0.9507534427,1.2111994528,0.9267969076
2020-04-14,1.4690780174,1.5388019828,1.0691996462,0.9919790212,1.1791383745,1.0071142267
2020-04-15,1.4778444925,1.5419365524,1.0641466043,0.9404787835,1.2379270893,1.0041329922
2020-04-16,1.4025217094,1.4757774831,0.9708329330,0.9094688479,1.1176548734,0.9343334888
2020-04-17,1.3657197074,1.3660113866,1.0783437069,0.9225965284,1.0868404358,0.7763958163
2020-04-18,1.2829429911,1.3232219538,0.9216434192,0.8403360426,0.9313252271,0.6734229736
2020-04-19,1.2040835696,1.1845475585,0.9614115223,0.7825232730,0.9002717326,0.6019886740
2020-04-20,1.2798221259,1.3341653451,1.0068387135,0.7795732042,0.9864273924,0.8030819323
2020-04-21,1.2411908648,1.2149639212,0.9010475290,0.7505533779,0.9197534062,0.6744639051
2020-04-22,1.1886054466,1.2107209630,0.8695176595,0.6969849750,0.8966166813,0.7045629846
2020-04-23,1.1560500480,1.2665666618,0.8628416140,0.6807261997,0.8569943206,0.5633742009
2020-04-24,0.9906741478,1.0905672897,0.8586374170,0.6780875556,0.8856834269,0.5841141548
2020-04-25,0.9244974263,1.0527770776,0.7345346965,0.5565770624,0.8132268993,0.6153567727
2020-04-26,0.7781553782,0.9501319903,0.6906449878,0.6362677408,0.7229739320,0.6308493527
2020-04-27,0.9728308978,1.0004607818,0.7459043520,0.6607613138,0.8922238840,0.6408578905
2020-04-28,0.8221906516,0.9353385067,0.7486643004,0.5577029375,0.8051374259,0.6853871646
2020-04-29,0.8053263360,0.8454127450,0.6409051543,0.5592540379,0.7657556706,0.3864329449
2020-04-30,0.7935839997,0.9353385067,0.7089888638,0.6908961729,0.8084859640,0.3762966804
