date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-02-20,1.12496700,2.67503300,0.06666700,0.06666700,9.09163000,0.23333000
2020-02-21,3.35000000,2.04163000,0.12499660,0.09166700,7.84170000,0.17500330
2020-02-22,2.42503300,3.56663000,0.14999700,1.20836300,15.15000000,0.34167000
2020-02-23,6.49996700,2.70000000,3.23330000,0.21666600,22.64170000,1.52497000
2020-02-24,6.79170000,7.31660000,1.21663330,0.29999700,35.07537000,0.76666700
2020-02-25,17.20000000,8.34163000,6.44170300,0.65000700,52.50800000,2.45000000
2020-02-26,18.99970000,15.09200000,4.71663000,2.91670000,91.15000000,4.77503000
2020-02-27,13.45000000,28.23340000,2.75830000,3.26667000,87.41630000,3.58337000
2020-02-28,29.57470000,28.93330000,4.01663700,5.50000000,88.77500000,3.86670000
2020-02-29,34.82500000,52.73370000,4.12496330,5.05000000,69.49967000,4.85833000
2020-03-01,38.65830000,40.90000000,6.44170000,7.85830000,89.23370000,10.20840000
2020-03-02,57.52500000,69.96630000,9.85833300,15.48333000,90.05800000,14.08330000
2020-03-03,74.34130000,68.94970000,10.61666000,16.85037000,85.67500000,11.30830000
2020-03-04,92.51700000,90.00100000,12.11667000,30.44170000,119.02470000,14.00837000
2020-03-05,115.52500000,104.36700000,14.54170000,28.72530000,133.65030000,18.57460000
2020-03-06,153.61400000,165.96500000,32.25000000,43.23303000,185.06500000,28.82467000
2020-03-07,178.25170000,211.34300000,52.29963000,59.84200000,261.51830000,47.61670000
2020-03-08,271.95000000,247.84700000,95.84200000,90.20830000,340.22100000,68.35833000
2020-03-09,469.23600000,412.72700000,126.78870000,122.47500000,460.69800000,89.94170000
2020-03-10,576.87200000,527.52000000,165.85630000,135.88270000,598.07700000,118.21700000
2020-03-11,742.46700000,634.06300000,181.60370000,203.70400000,771.30500000,158.40530000
2020-03-12,788.26000000,758.32300000,213.82700000,219.08830000,792.92500000,176.65870000
2020-03-13,902.00300000,972.07700000,244.66870000,326.62000000,909.90800000,201.54470000
2020-03-14,863.87700000,1045.63500000,247.99700000,314.93500000,965.25500000,203.48830000
2020-03-15,940.36200000,1191.47800000,247.92200000,293.08900000,956.87700000,199.46830000
2020-03-16,1177.63500000,1627.81000000,315.39000000,360.68400000,1181.60800000,256.57300000
2020-03-17,1030.43300000,1446.00300000,278.04500000,328.32100000,950.16700000,263.58200000
2020-03-18,1064.60000000,1469.52800000,244.11500000,326.16000000,1037.01700000,222.16370000
2020-03-19,938.72000000,1374.29000000,226.77300000,298.58500000,870.19700000,189.12370000
2020-03-20,1095.51200000,1580.14200000,231.89300000,302.59700000,965.37200000,227.95800000
2020-03-21,857.45000000,1393.88000000,203.18170000,250.07800000,819.19800000,158.90700000
2020-03-22,770.57000000,1174.25200000,145.49130000,227.47700000,719.57500000,133.61670000
2020-03-23,1014.68700000,1543.60000000,228.71700000,337.53000000,900.99800000,198.97200000
2020-03-24,768.26200000,1225.60000000,183.05800000,265.74500000,777.81300000,155.94200000
2020-03-25,843.39300000,1356.63000000,197.04500000,308.67000000,845.69200000,146.87500000
2020-03-26,766.75800000,1158.48000000,193.53830000,254.75300000,778.10300000,139.37500000
2020-03-27,840.25800000,1229.69700000,211.85400000,251.89500000,791.94300000,118.40870000
2020-03-28,786.08800000,1117.18700000,181.99500000,238.75000000,729.18300000,141.42500000
2020-03-29,686.14800000,959.36200000,166.88300000,213.86200000,584.02700000,115.05900000
2020-03-30,934.75800000,1203.13300000,238.13400000,274.60500000,840.51300000,147.36600000
2020-03-31,720.05500000,985.76200000,163.28130000,218.91800000,734.61300000,114.97500000
2020-04-01,799.85000000,1101.44500000,189.97300000,251.60500000,836.09000000,127.16700000
2020-04-02,715.64000000,1021.35000000,179.69600000,234.17400000,783.90500000,123.76730000
2020-04-03,720.31300000,1002.07500000,170.83500000,230.64700000,800.98700000,124.48400000
2020-04-04,575.73800000,838.66000000,143.17470000,191.32300000,626.38300000,85.95870000
2020-04-05,481.19200000,717.09200000,140.79970000,200.80000000,573.72200000,99.09130000
2020-04-06,638.59300000,845.04000000,186.08700000,213.41700000,706.73200000,105.59970000
2020-04-07,561.77800000,803.00000000,175.89200000,207.89200000,635.34200000,102.48400000
2020-04-08,557.19700000,749.93500000,148.68300000,190.66700000,610.63200000,91.95830000
2020-04-09,515.66000000,714.06800000,150.45830000,178.77500000,575.31700000,90.35030000
2020-04-10,494.03800000,623.26800000,124.90870000,143.25830000,463.86300000,85.87530000
2020-04-11,393.61200000,550.11800000,118.84200000,125.60800000,408.36500000,74.24230000
