date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-02-20,-1.3691524571,-1.4783024124,-1.8694946723,-1.7171748202,-2.0549651465,-1.4460431877
2020-02-21,-1.3380655980,-1.4856933878,-1.8672711627,-1.7163829058,-2.0705958848,-1.4491592581
2020-02-22,-1.3509146119,-1.4679576063,-1.8663187834,-1.6812595099,-1.9806441308,-1.4402668700
2020-02-23,-1.2950748494,-1.4780117963,-1.7516647288,-1.7124270683,-1.8918789060,-1.3781452991
2020-02-24,-1.2911517417,-1.4251837319,-1.8260334299,-1.7097933176,-1.7515862322,-1.4177527722
2020-02-25,-1.1571919471,-1.4136929287,-1.6378973124,-1.6987606941,-1.5680189799,-1.3307751846
2020-02-26,-1.1351366772,-1.3400621301,-1.6983967261,-1.6284506809,-1.2060203180,-1.2160290114
2020-02-27,-1.2041600004,-1.2059766745,-1.7689752092,-1.6177665706,-1.2386601190,-1.2740927528
2020-02-28,-1.0114051156,-1.1991485010,-1.7233871442,-1.5506254241,-1.2267298472,-1.2601479978
2020-02-29,-0.9533913257,-0.9831244317,-1.7195027507,-1.5640117329,-1.4019284933,-1.2120269353
2020-03-01,-0.9123389683,-1.0867995620,-1.6378974163,-1.4816041383,-1.2227158131,-0.9691339239
2020-03-02,-0.7244901876,-0.8434909917,-1.5223915011,-1.2704779746,-1.2155196575,-0.8085779161
2020-03-03,-0.5740004087,-0.8513906000,-1.4974907609,-1.2344158000,-1.2540390513,-0.9223565906
2020-03-04,-0.4259834082,-0.6954504295,-1.4489831627,-0.9012715955,-0.9757043940,-0.8115741078
2020-03-05,-0.2565166062,-0.5973259916,-1.3725763694,-0.9410081212,-0.8633316113,-0.6360522631
2020-03-06,-0.0106059295,-0.2350410622,-0.8779955238,-0.6232464119,-0.5062003038,-0.2866259561
2020-03-07,0.1302573931,-0.0133764684,-0.4187306938,-0.3024709890,-0.0590041501,0.2379210637
2020-03-08,0.5742669104,0.1445864536,0.3513913552,0.1961045128,0.3266682071,0.7007723795
2020-03-09,1.2317854101,0.7080255840,0.7792240637,0.6365543216,0.8162983135,1.0971755988
2020-03-10,1.5010566117,1.0067924035,1.2290954404,0.7992430394,1.2728255196,1.5274463034
2020-03-11,1.8423866014,1.2407227446,1.3890220295,1.4924417309,1.7451068058,2.0227492173
2020-03-12,1.9250916264,1.4755124676,1.6864287076,1.6264362608,1.7979016271,2.2154987974
2020-03-13,2.1135604332,1.8115698521,1.9402754888,2.4057946061,2.0646349615,2.4537312146
2020-03-14,2.0528540502,1.9122920386,1.9661323573,2.3318064309,2.1809943235,2.4712951082
2020-03-15,2.1723745110,2.0946106898,1.9655527521,2.1874125359,2.1637469435,2.4348110416
2020-03-16,2.4943924542,2.5395246455,2.4374752076,2.6099348636,2.5874484625,2.9036918178
2020-03-17,2.3024461563,2.3692647911,2.1877724017,2.4163875226,2.1498414210,2.9549227056
2020-03-18,2.3491183290,2.3923703007,1.9359467815,2.4029223607,2.3237555981,2.6332778295
2020-03-19,2.1699011872,2.2966430423,1.7962657437,2.2245197747,1.9774450856,2.3380478621
2020-03-20,2.3901899202,2.4966492824,1.8383562480,2.2512689646,2.1812342908,2.6812042211
2020-03-21,2.0423872552,2.3168190825,1.5921908301,1.8766029214,1.8605006490,2.0282789983
2020-03-22,1.8936526693,2.0741530876,1.0051113260,1.6966252576,1.6137461965,1.7306228814
2020-03-23,2.2804648052,2.4629648026,1.8123339384,2.4729809541,2.0453519334,2.4302645606
2020-03-24,1.8895044048,2.1343591167,1.4032683762,1.9942713475,1.7611242578,1.9953950467
2020-03-25,2.0192503042,2.2782284699,1.5361371786,2.2912305044,1.9219798925,1.8916738835
2020-03-26,1.8867953393,2.0551841623,1.5035092703,1.9122895936,1.7618354669,1.8020223293
2020-03-27,2.0140438264,2.1390643197,1.6692394194,1.8905326960,1.7955292040,1.5300943555
2020-03-28,1.9212649815,2.0044009451,1.3928635251,1.7879903742,1.6387066458,1.8268920565
2020-03-29,1.7343614068,1.7934808678,1.2398530843,1.5817050751,1.2300069320,1.4833582052
2020-03-30,2.1639173112,2.1083016323,1.8886846441,2.0584768963,1.9100879728,1.8974176141
2020-03-31,1.8002773830,1.8308073787,1.2019010701,1.6249910459,1.6526966448,1.4821733550
2020-04-01,1.9453559970,1.9845975192,1.4698755230,1.8883145734,1.8998840538,1.6477995517
2020-04-02,1.7918484136,1.8797522353,1.3702051596,1.7512986343,1.7760194614,1.6028546510
2020-04-03,1.8007685622,1.8534336450,1.2808178936,1.7226515693,1.8172885760,1.6124062738
2020-04-04,1.4984457868,1.6104399570,0.9782572785,1.3792190727,1.3567889041,1.0291944784
2020-04-05,1.2640596150,1.4014533482,0.9504110754,1.4663349084,1.1980974982,1.2458163507
2020-04-06,1.6370280489,1.6206715822,1.4326720495,1.5778597040,1.5799616455,1.3457530177
2020-04-07,1.4659475173,1.5519828897,1.3322381351,1.5296249097,1.3827500457,1.2984772613
2020-04-08,1.4551360433,1.4607280031,1.0416246747,1.3730767704,1.3104381875,1.1308099521
2020-04-09,1.3535801237,1.3958807751,1.0616966473,1.2590710464,1.2030648763,1.1040321898
2020-04-10,1.2980180944,1.2185547964,0.7552972928,0.8844823193,0.8278797289,1.0277483308
2020-04-11,1.0108147657,1.0594233098,0.6764198989,0.6755144919,0.6160221229,0.8161077227
2020-04-12,0.9646569119,0.9048362506,0.5841301218,0.7351770975,0.7084396524,0.8254586133
2020-04-13,0.9773908832,0.8303512107,0.5921339366,0.6934556378,0.6722006223,0.5808340016
2020-04-14,0.9396549354,0.8920065615,0.6968070262,0.7980745011,0.5969367883,0.7575681618
2020-04-15,0.9535275502,0.8968990018,0.6846666517,0.6673814575,0.7349441261,0.7510081076
2020-04-16,0.8343320994,0.7936378407,0.4604724049,0.5886870078,0.4526034019,0.5974178636
2020-04-17,0.7760943252,0.6223147753,0.7187764309,0.6220013496,0.3802660747,0.2498840783
2020-04-18,0.6451033075,0.5555289733,0.3422903009,0.4132474926,0.0151919274,0.0232975951
2020-04-19,0.5203112603,0.3390857978,0.4378366428,0.2665350277,-0.0577065892,-0.1338899344
2020-04-20,0.6401646565,0.5726094326,0.5469794378,0.2590485870,0.1445450381,0.3086055142
2020-04-21,0.5790321492,0.3865596959,0.2928068757,0.1854044720,-0.0119730854,0.0255881116
