scenario,family,seed,template_sha256,n_generated,n_received,n_dropped,n_right_censored,n_outliers_received,realized_drop_fraction,realized_received_fraction,realized_outlier_fraction_among_received,mean_delay_all_generated,mean_delay_received,rows_participating_in_same_node_same_arrival_collisions,generation_delay_pmf_base,inference_delay_pmf_base,nested_sweep_note
delay_light,delay,1101,2e8117db1393df6831c964d71d489524306437a4c54ee940130721f74a98442a,2190,2007,181,2,128,0.08264840182648402,0.9164383561643835,0.0637767812655705,0.7356164383561644,0.7419033383158944,956,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1102,80c9d01b0b5023a8c2af5d859428382856dba75dde186c03fdb91321297f2b6e,2190,1990,194,6,119,0.08858447488584476,0.908675799086758,0.05979899497487437,0.7401826484018265,0.7301507537688442,923,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1103,75feb8e197518406b5e49ff6c1070671d8396c7767397a19a17a185f026f1ad6,2190,2015,172,3,107,0.07853881278538813,0.9200913242009132,0.05310173697270471,0.7114155251141553,0.7032258064516129,935,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1104,6eb207398730e7f12c1c56f0c0dd1420efec85fa85f8f7740206c93ba401f8ee,2190,2001,186,3,118,0.08493150684931507,0.9136986301369863,0.05897051474262868,0.7036529680365297,0.7031484257871065,950,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1105,3962aefa08f28d16f3d315e14869049bcd8feec1ce9e4f953c3316cdcca34491,2190,1976,212,2,108,0.09680365296803653,0.902283105022831,0.05465587044534413,0.7178082191780822,0.7277327935222672,906,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1106,bd1969f6e07b6c4605669c335b3fc1c703e31979f4c84cf53b7c70ea1a3770b7,2190,1997,191,2,99,0.08721461187214612,0.9118721461187215,0.04957436154231347,0.7100456621004566,0.7060590886329494,945,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1107,38e98ed3c0b17fdf2082f46d30b2444756eb4598c92e0cd935a238ba0fa990dd,2190,1984,203,3,87,0.09269406392694064,0.9059360730593607,0.043850806451612906,0.7118721461187215,0.7096774193548387,930,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1108,ebcb9a8958189fbfabe12e828acb8708cd12f4dfd7f069eedbb6342058415360,2190,1989,201,0,105,0.09178082191780822,0.9082191780821918,0.05279034690799397,0.6986301369863014,0.7078934137757668,939,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1109,ff17f061492210790111ed697b1402de0cdc6b6567277a1a793371740011ad05,2190,2010,178,2,99,0.08127853881278539,0.9178082191780822,0.049253731343283584,0.7077625570776256,0.7054726368159204,930,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
delay_light,delay,1110,5194b17f87ee954f16c15cce66493ca7adb1213ff4b88fdecca2c70afd2af438,2190,2009,176,5,86,0.08036529680365297,0.917351598173516,0.0428073668491787,0.7255707762557078,0.7137879542060727,941,"[0.55, 0.25, 0.12, 0.06, 0.02]","[0.55, 0.25, 0.12, 0.06, 0.02]","Delay, drop, outlier-selection, and outlier-magnitude random templates are fixed per seed and reused across scenarios."
