scenario,family,method,evaluation,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
reference_moderate,main,Arrival interpolation,causal rolling nowcasting,rmse,20,1.4426593822174818,0.6082229210170158,1.2276076930138027,1.0032465984766015,1.8433187632557382,1.1954652149860745,1.6970893284031465
reference_moderate,main,Arrival interpolation,causal rolling nowcasting,mae,20,0.348142981263538,0.08332833929680722,0.3245230146338097,0.28332437211225947,0.4306775176224811,0.313425726915345,0.3849524505183913
reference_moderate,main,Arrival interpolation,causal rolling nowcasting,r2,20,-14.426316157023056,13.123367156366701,-8.557810639666258,-20.57362050724371,-5.38255208730271,-20.093416590436963,-9.355417453155214
reference_moderate,main,Arrival interpolation,causal rolling nowcasting,pearson_r,20,0.2890442859402921,0.1285588855912331,0.2750214628288722,0.2022250890602472,0.36510878916122425,0.23439420540812367,0.34511096374144806
reference_moderate,main,Arrival interpolation,causal rolling nowcasting,runtime_seconds,20,0.6526818789500339,0.24666865082332357,0.6302669729982426,0.5561546442495455,0.6694378737508941,0.5513229157858336,0.7659796109157195
reference_moderate,main,Arrival interpolation,causal rolling nowcasting,peak_memory_mb,20,0.05625,0.2515576474687264,0.0,0.0,0.0,0.0,0.16875
reference_moderate,main,Delay backprojection,causal rolling nowcasting,rmse,20,1.4426593822174818,0.6082229210170158,1.2276076930138027,1.0032465984766015,1.8433187632557382,1.1954652149860745,1.6970893284031465
reference_moderate,main,Delay backprojection,causal rolling nowcasting,mae,20,0.348142981263538,0.0833283392968072,0.3245230146338097,0.2833243721122596,0.4306775176224811,0.313425726915345,0.3849524505183913
reference_moderate,main,Delay backprojection,causal rolling nowcasting,r2,20,-14.426316157023058,13.123367156366701,-8.557810639666258,-20.57362050724371,-5.38255208730271,-20.093416590436963,-9.355417453155214
reference_moderate,main,Delay backprojection,causal rolling nowcasting,pearson_r,20,0.28904428594029213,0.12855888559123313,0.2750214628288722,0.2022250890602472,0.36510878916122425,0.23439420540812367,0.3451109637414481
reference_moderate,main,Delay backprojection,causal rolling nowcasting,runtime_seconds,20,3.029406479650106,0.6960593579105583,3.1772466804998203,2.817135007501406,3.2665400947518037,2.7299550031839295,3.3237534187048294
reference_moderate,main,Delay backprojection,causal rolling nowcasting,peak_memory_mb,20,0.025,0.11180339887498947,0.0,0.0,0.0,0.0,0.075
reference_moderate,main,Delay-aware state-space (internal),causal rolling nowcasting,rmse,20,1.034339635713891,0.41432652726128033,0.8759149159686018,0.7416612393937939,1.2766919184792622,0.8659272416868046,1.2130281115045367
reference_moderate,main,Delay-aware state-space (internal),causal rolling nowcasting,mae,20,0.3698487285565645,0.08104366425580715,0.362317532286924,0.31235051414287107,0.4256049393152276,0.33614886128959853,0.4050632909478781
reference_moderate,main,Delay-aware state-space (internal),causal rolling nowcasting,r2,20,-6.818355129097249,6.1712256865892465,-3.865387312404533,-9.578084807219845,-2.4927104987196667,-9.478131811154078,-4.361510459441701
reference_moderate,main,Delay-aware state-space (internal),causal rolling nowcasting,pearson_r,20,0.38151472944986214,0.15193727355757589,0.4027446476700484,0.30173355443746563,0.4807828395915208,0.3147298696546765,0.4452985176784477
