source,target,mean_weight,sd_weight,selection_frequency,bootstrap95_low,bootstrap95_high
Baden-Württemberg,Bayern,1.7257697587904874,1.2767135166165626,0.7,1.1761598948702636,2.237833718715473
Baden-Württemberg,Hessen,0.32224731727405753,0.8242649800465295,0.2,0.03643574174280529,0.7315592368331334
Baden-Württemberg,Niedersachsen,0.0,0.0,0.0,0.0,0.0
Baden-Württemberg,Nordrhein-Westfalen,0.2644788516151848,0.70044780908604,0.2,0.022859996613019375,0.6257593374828949
Baden-Württemberg,Rheinland-Pfalz,0.0,0.0,0.0,0.0,0.0
Bayern,Baden-Württemberg,0.5665971570082934,1.1788902614367396,0.2,0.13912546281704516,1.1222722819720217
Bayern,Hessen,0.19248882046543506,0.6583090073993487,0.15,0.0,0.5253381445519414
Bayern,Niedersachsen,0.0,0.0,0.0,0.0,0.0
Bayern,Nordrhein-Westfalen,0.11945431456654074,0.5342159351528569,0.05,0.0,0.35836294369962224
Bayern,Rheinland-Pfalz,0.0,0.0,0.0,0.0,0.0
Hessen,Baden-Württemberg,0.44884231975498257,0.9099751833631552,0.25,0.10265446128759212,0.8717507066544473
Hessen,Bayern,1.5646882701239482,1.3246077054613135,0.65,1.00110546711494,2.1123416929371044
Hessen,Niedersachsen,0.0,0.0,0.0,0.0,0.0
Hessen,Nordrhein-Westfalen,0.24749144656769975,0.7744000774757273,0.15,0.0,0.6368979123251993
Hessen,Rheinland-Pfalz,0.04028177222705115,0.13798416996008428,0.1,0.0,0.10237612151556351
Niedersachsen,Baden-Württemberg,0.5247843075843114,0.675514801133192,0.45,0.23907195711084214,0.8199623319382076
Niedersachsen,Bayern,1.0093608399518912,0.811406392631433,0.9,0.6675257041523522,1.3544852930128388
Niedersachsen,Hessen,0.3482697494888862,0.5742333365940221,0.45,0.1361369685907798,0.6286672905370289
Niedersachsen,Nordrhein-Westfalen,0.37371403742695364,0.5869259348553779,0.4,0.14303145042916898,0.649033563029906
Niedersachsen,Rheinland-Pfalz,0.03402752310828899,0.10143693489879359,0.2,0.0002696315399511298,0.08358247608338568
Nordrhein-Westfalen,Baden-Württemberg,0.6119114760594975,1.005575244173873,0.3,0.20727019591304918,1.0513345763251403
Nordrhein-Westfalen,Bayern,1.6189313751552696,1.3470266355966662,0.7,1.04098511248128,2.17519583885457
Nordrhein-Westfalen,Hessen,0.49803309462525275,1.0788725039511113,0.25,0.09098990140744984,1.0297882485731118
Nordrhein-Westfalen,Niedersachsen,0.0,0.0,0.0,0.0,0.0
Nordrhein-Westfalen,Rheinland-Pfalz,0.00023690996583325337,0.0010594935763006143,0.05,0.0,0.0007107298974997602
Rheinland-Pfalz,Baden-Württemberg,0.6339686141554883,0.9458753069058623,0.35,0.2431444266791655,1.0652873696356648
Rheinland-Pfalz,Bayern,1.22994878238485,0.851506311669781,0.85,0.8561049649157332,1.55964965627924
Rheinland-Pfalz,Hessen,0.5599727640087094,0.7429505354515075,0.45,0.2619278411232965,0.8991506172284548
Rheinland-Pfalz,Niedersachsen,0.017321495171835538,0.07746408135231732,0.05,0.0,0.05196448551550661
Rheinland-Pfalz,Nordrhein-Westfalen,0.23828089783998546,0.5313299946965049,0.3,0.04212876826319176,0.5008777359798585
