scenario,family,method,evaluation,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
reference_moderate,main,Arrival interpolation,retrospective reconstruction,rmse,20,1.3581710243296734,0.5582138311116444,1.202196413060226,0.9281167116587038,1.7261803584375772,1.1306903672875475,1.5952551503376953
reference_moderate,main,Arrival interpolation,retrospective reconstruction,mae,20,0.345741309903686,0.08888185049430904,0.30994601441403913,0.2783729429253739,0.41534708434567646,0.3097954366375617,0.3854250627606587
reference_moderate,main,Arrival interpolation,retrospective reconstruction,r2,20,-12.574341182841653,10.830113023391522,-8.17382397107302,-17.998032687152012,-4.463204574775862,-17.25800717693038,-8.303080131232683
reference_moderate,main,Arrival interpolation,retrospective reconstruction,pearson_r,20,0.30894252614645556,0.1263530849804895,0.3020590102097799,0.21998869057594667,0.3772833215499075,0.25506999663875124,0.36236545569837214
reference_moderate,main,Arrival interpolation,retrospective reconstruction,runtime_seconds,20,0.009259670550022747,0.007855374580607541,0.005886300500151265,0.005378063750072215,0.008727539749770585,0.006463698266117603,0.013077201776314377
reference_moderate,main,Arrival interpolation,retrospective reconstruction,peak_memory_mb,20,0.15625,0.27167547881521015,0.0,0.0,0.21875,0.05,0.275
reference_moderate,main,Delay backprojection,retrospective reconstruction,rmse,20,1.019878768609058,0.45384071754542393,0.8283505209965611,0.6946062675766234,1.1667110712042947,0.8411963410955758,1.2186902157096515
reference_moderate,main,Delay backprojection,retrospective reconstruction,mae,20,0.3663637537403569,0.09123777614151603,0.35981818517656605,0.30341684752568837,0.41821009166464396,0.32940349661766977,0.4075526532187235
reference_moderate,main,Delay backprojection,retrospective reconstruction,r2,20,-6.836642576289792,7.145598735362826,-3.3513507614298836,-7.7659201605205475,-2.059513628742814,-10.010027523163524,-4.071287384523594
reference_moderate,main,Delay backprojection,retrospective reconstruction,pearson_r,20,0.4027203770903333,0.152085197035036,0.39771747999625623,0.30326195086900865,0.4970297256502794,0.33553726443365733,0.46617495743362997
reference_moderate,main,Delay backprojection,retrospective reconstruction,runtime_seconds,20,0.0385558890999846,0.015392164601378546,0.03854856449993349,0.02394072150013926,0.055465064750023885,0.03208948888496707,0.04519561233250329
reference_moderate,main,Delay backprojection,retrospective reconstruction,peak_memory_mb,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference_moderate,main,Delay-aware state-space (internal),retrospective reconstruction,rmse,20,0.726829018887399,0.29794559324450265,0.5936406387966316,0.5485933201890821,0.8502259149942449,0.6078608150208522,0.8577850705657767
