scenario,friedman_stat,friedman_p,n_blocks,n_methods
delay_light,123.26666666666665,1.598194591860259e-23,20,8
delay_moderate,119.5,9.736794208142935e-23,20,8
delay_severe,113.7166666666667,1.5535410827315469e-21,20,8
missing_00,120.16666666666663,7.07277528194917e-23,20,8
missing_10,119.5,9.736794208142935e-23,20,8
missing_30,116.75,3.6368439929194283e-22,20,8
missing_50,94.79999999999995,1.274466991020356e-17,20,8
outlier_00,139.9207861822513,5.2809686764013625e-27,20,8
outlier_05,119.5,9.736794208142935e-23,20,8
outlier_10,123.14999999999998,1.690254978571298e-23,20,8
outlier_20,125.4666666666667,5.556500280825774e-24,20,8
outlier_30,125.98333333333335,4.335098234898399e-24,20,8
prior_mismatch,118.43333333333328,1.6235652332377955e-22,20,8
reference_moderate,119.5,9.736794208142935e-23,20,8
