family,scenario,n_seeds,rmse_mean,rmse_sd,mae_mean,runtime_mean,learned_density_mean
delay,delay_light,20,0.31045589006817037,0.06609545245019559,0.2530060724694624,26.64492887114998,0.28500000000000003
delay,delay_moderate,20,0.319654631879921,0.0514800376708633,0.26149912500931327,31.58999430215001,0.27833333333333327
delay,delay_severe,20,0.3439799962677629,0.08600610677118661,0.2735006522922979,35.15465374770006,0.26499999999999996
main,reference_moderate,20,0.319654631879921,0.0514800376708633,0.26149912500931327,25.966984362249946,0.27833333333333327
missingness,missing_00,20,0.2998793091191091,0.043779827223289075,0.24748986651664087,30.194397931049956,0.2666666666666666
missingness,missing_10,20,0.319654631879921,0.0514800376708633,0.26149912500931327,26.446426030499993,0.27833333333333327
missingness,missing_30,20,0.4132104741123562,0.187496256612027,0.308446412192668,22.08475378594992,0.2666666666666666
missingness,missing_50,20,0.6146663263993486,0.5521869146468753,0.39406341062750155,17.951850292750056,0.2816666666666666
model_mismatch,prior_mismatch,20,0.32708774454198064,0.07938453254246754,0.2593068497449247,27.00154901454996,0.26499999999999996
outlier,outlier_00,20,0.2124212309279571,0.002976164847605286,0.1736677909856635,28.75440465244999,0.43166666666666664
outlier,outlier_05,20,0.319654631879921,0.0514800376708633,0.26149912500931327,25.689338489650094,0.27833333333333327
outlier,outlier_10,20,0.3950321276769523,0.08733432911574283,0.3121647653015321,27.584672872150055,0.23666666666666664
outlier,outlier_20,20,0.5269483088987751,0.09821603764066957,0.40180392846710866,28.43170722305008,0.23666666666666664
outlier,outlier_30,20,0.6570279583586939,0.09449594309773532,0.4923399193164223,26.17732028105006,0.2233333333333333
