family,scenario,n_seeds,rmse_mean,rmse_sd,mae_mean,runtime_mean,learned_density_mean
delay,delay_light,20,0.3104558900681703,0.0660954524501955,0.2530060724694624,26.64492887114998,0.285
delay,delay_moderate,20,0.319654631879921,0.0514800376708633,0.2614991250093132,31.58999430215001,0.2783333333333332
delay,delay_severe,20,0.3439799962677629,0.0860061067711866,0.2735006522922979,35.15465374770006,0.2649999999999999
main,reference_moderate,20,0.319654631879921,0.0514800376708633,0.2614991250093132,25.966984362249946,0.2783333333333332
missingness,missing_00,20,0.2998793091191091,0.043779827223289,0.2474898665166408,30.19439793104996,0.2666666666666666
missingness,missing_10,20,0.319654631879921,0.0514800376708633,0.2614991250093132,26.446426030499996,0.2783333333333332
missingness,missing_30,20,0.4132104741123562,0.187496256612027,0.308446412192668,22.08475378594992,0.2666666666666666
missingness,missing_50,20,0.6146663263993486,0.5521869146468753,0.3940634106275015,17.951850292750056,0.2816666666666666
model_mismatch,prior_mismatch,20,0.3270877445419806,0.0793845325424675,0.2593068497449247,27.00154901454996,0.2649999999999999
outlier,outlier_00,20,0.2124212309279571,0.0029761648476052,0.1736677909856635,28.75440465244999,0.4316666666666666
outlier,outlier_05,20,0.319654631879921,0.0514800376708633,0.2614991250093132,25.68933848965009,0.2783333333333332
outlier,outlier_10,20,0.3950321276769523,0.0873343291157428,0.3121647653015321,27.58467287215005,0.2366666666666666
outlier,outlier_20,20,0.5269483088987751,0.0982160376406695,0.4018039284671086,28.43170722305008,0.2366666666666666
outlier,outlier_30,20,0.6570279583586939,0.0944959430977353,0.4923399193164223,26.17732028105006,0.2233333333333333
